inheritance_mode,fidelity,treatment,baseline,policy,contrast,metric,mean_diff,ci_lo,ci_hi,n_pairs,sign_agreement,paired_cohen_d
baldwinian,0.9,A_f0.9_move,A_f0.9_cells,adaptive_move,move-cells,delta_true,-0.00405129586383949,-0.009391174272866344,0.0013509547994002271,30,0.5666666666666667,-0.2671385447121283
baldwinian,0.9,A_f0.9_move,A_f0.9_cells,adaptive_move,move-cells,realised_enforcement,0.010459695150587868,-9.722031003907155e-05,0.020562370810967276,30,0.6666666666666666,0.3600919485971293
baldwinian,0.9,A_f0.9_move,A_f0.9_cells,adaptive_move,move-cells,mean_mask_overlap,0.028928990610328664,0.02781977699530519,0.03003013497652586,30,1.0,8.62363403300651
baldwinian,0.9,A_f0.9_move,A_f0.9_cells,adaptive_move,move-cells,mean_weight_kl,0.049093899411719814,0.048142426710884395,0.05006874936310026,30,1.0,17.68738219509466
baldwinian,0.9,A_f0.9_move,A_f0.9_cells,adaptive_move,move-cells,eval_heldout_delta_cue,-0.01540598049232531,-0.05526509295303993,0.02142787280241784,30,0.5333333333333333,-0.1351260945619225
baldwinian,1.0,A_f1_cells,C2,adaptive_cells,adaptive-static,rate,0.00036740285245073133,-0.0026150868808779986,0.003324215851494466,30,0.5333333333333333,0.04331739701065868
baldwinian,1.0,A_f1_cells,C2,adaptive_cells,adaptive-static,delta_cue,0.003410784032237564,-0.0023042049937807368,0.00875672700732346,30,0.7,0.2143046519019345
baldwinian,1.0,A_f1_cells,C2,adaptive_cells,adaptive-static,delta_true,0.003410784032237564,-0.0023042049937807368,0.00875672700732346,30,0.7,0.2143046519019345
baldwinian,1.0,A_f1_cells,C2,adaptive_cells,adaptive-static,realised_enforcement,0.012008705935039455,0.003172890207632329,0.021572753892252834,30,0.6,0.450935534538222
baldwinian,1.0,A_f1_cells,C2,adaptive_cells,adaptive-static,mean_mask_overlap,0.010178403755868511,0.00848874706572765,0.011931059272300435,30,1.0,2.1591846960755086
baldwinian,1.0,A_f1_cells,C2,adaptive_cells,adaptive-static,mean_weight_kl,0.019076226670811665,0.01862197065424567,0.019546056238023933,30,1.0,13.982994259889766
baldwinian,1.0,A_f1_cells,C2,adaptive_cells,adaptive-static,eval_heldout_delta_cue,-0.0012661887243737107,-0.0490368698621654,0.04576052004505738,30,0.6,-0.009416555040405342
baldwinian,1.0,A_f1_move,C2,adaptive_move,adaptive-static,rate,-0.0023062962603942238,-0.004436796786612598,-0.00017006500904510029,30,0.6,-0.37140942301145347
baldwinian,1.0,A_f1_move,C2,adaptive_move,adaptive-static,delta_cue,0.001230004684858362,-0.004084786964656032,0.0065976241027250445,30,0.6,0.08170439831504912
baldwinian,1.0,A_f1_move,C2,adaptive_move,adaptive-static,delta_true,0.001230004684858362,-0.004084786964656032,0.0065976241027250445,30,0.6,0.08170439831504912
baldwinian,1.0,A_f1_move,C2,adaptive_move,adaptive-static,realised_enforcement,0.013415180222373587,0.004063563675747674,0.02308192036333446,30,0.7,0.49600206916083167
baldwinian,1.0,A_f1_move,C2,adaptive_move,adaptive-static,mean_mask_overlap,0.03866549295774648,0.03701166373239439,0.040274735915492875,30,1.0,8.147711639920633
baldwinian,1.0,A_f1_move,C2,adaptive_move,adaptive-static,mean_weight_kl,0.0695063696943389,0.06816951886371876,0.07080196441667656,30,1.0,18.59368163143575
