run_id,cell_id,condition,family,inheritance_mode,seed,coverage,fidelity,penalty,decorrelated,expected_penalty_per_defection,realised_enforcement,ticks_completed,extinct,final_population,total_agents,births,deaths,warmstart_applied,warmstart_skipped
C1_p3__lamarckian__s4,C1_p3__lamarckian,C1_p3,C1,lamarckian,4,0.5,0.0,3.0,0,1.5,0.4913471326772989,1800,0,38,357,337,319,337,0
C1_p3__lamarckian__s5,C1_p3__lamarckian,C1_p3,C1,lamarckian,5,0.5,0.0,3.0,0,1.5,0.471134704711347,1800,0,36,373,353,337,353,0
C1_p3__lamarckian__s6,C1_p3__lamarckian,C1_p3,C1,lamarckian,6,0.5,0.0,3.0,0,1.5,0.4937027707808564,1800,0,50,354,334,304,334,0
C1_p3__lamarckian__s7,C1_p3__lamarckian,C1_p3,C1,lamarckian,7,0.5,0.0,3.0,0,1.5,0.4590538336052202,1800,0,32,303,283,271,283,0
C1_p3__lamarckian__s8,C1_p3__lamarckian,C1_p3,C1,lamarckian,8,0.5,0.0,3.0,0,1.5,0.4932764840931453,1800,0,37,363,343,326,343,0
C1_p3__lamarckian__s9,C1_p3__lamarckian,C1_p3,C1,lamarckian,9,0.5,0.0,3.0,0,1.5,0.4690921935711762,1800,0,48,369,349,321,349,0
C1_p3__lamarckian__s10,C1_p3__lamarckian,C1_p3,C1,lamarckian,10,0.5,0.0,3.0,0,1.5,0.5151301900070373,1800,0,50,353,333,303,333,0
C1_p3__lamarckian__s11,C1_p3__lamarckian,C1_p3,C1,lamarckian,11,0.5,0.0,3.0,0,1.5,0.4511418944215649,1800,0,30,313,293,283,293,0
C1_p3__lamarckian__s12,C1_p3__lamarckian,C1_p3,C1,lamarckian,12,0.5,0.0,3.0,0,1.5,0.51009564293305,1800,0,43,338,318,295,318,0
C1_p3__lamarckian__s13,C1_p3__lamarckian,C1_p3,C1,lamarckian,13,0.5,0.0,3.0,0,1.5,0.4772126816380449,1800,0,46,335,315,289,315,0
C1_p3__lamarckian__s14,C1_p3__lamarckian,C1_p3,C1,lamarckian,14,0.5,0.0,3.0,0,1.5,0.4896825396825396,1800,0,31,310,290,279,290,0
C1_p3__lamarckian__s15,C1_p3__lamarckian,C1_p3,C1,lamarckian,15,0.5,0.0,3.0,0,1.5,0.4619582664526485,1800,0,37,340,320,303,320,0
C1_p3__lamarckian__s16,C1_p3__lamarckian,C1_p3,C1,lamarckian,16,0.5,0.0,3.0,0,1.5,0.4787412119183127,1800,0,38,340,320,302,320,0
C1_p3__lamarckian__s17,C1_p3__lamarckian,C1_p3,C1,lamarckian,17,0.5,0.0,3.0,0,1.5,0.4980945121951219,1800,0,50,349,329,299,329,0
C1_p3__lamarckian__s18,C1_p3__lamarckian,C1_p3,C1,lamarckian,18,0.5,0.0,3.0,0,1.5,0.4793272599859846,1800,0,41,348,328,307,328,0
C1_p3__lamarckian__s19,C1_p3__lamarckian,C1_p3,C1,lamarckian,19,0.5,0.0,3.0,0,1.5,0.4893693693693693,1800,0,36,348,328,312,328,0
