run_id,cell_id,condition,family,inheritance_mode,seed,fidelity,penalty,expected_penalty_per_defection,extinct,final_population,total_agents,warmstart_applied,warmstart_skipped,population_late,mean_generation_end,drift_per_100_ticks,opportunities,rate,rate_cue0,rate_cue1,rate_m0,rate_m1,delta_cue,delta_true,realised_enforcement,eval_heldout_rate_cue0,eval_heldout_rate_cue1,eval_heldout_delta_cue,eval_heldout_opportunities,eval_train_rate_cue0,eval_train_rate_cue1,eval_train_delta_cue,eval_train_opportunities
C1__baldwinian__s2,C1__baldwinian,C1,C1,baldwinian,2,0.0,6.0,3.0,0,50,646,0,0,49.6,4.888888888888889,-0.0026254140749652115,12238.0,0.09903579016179115,0.10262257696693272,0.0954254795868175,0.10268834010628321,0.09503424657534247,0.007197097380115217,0.0076540935309407365,0.45792079207920794,0.054474708171206226,0.03418803418803419,0.020286673983172035,491.0,0.09117938553022795,0.06501547987616099,0.026163905654066955,1978.0
C1__baldwinian__s3,C1__baldwinian,C1,C1,baldwinian,3,0.0,6.0,3.0,0,50,680,0,0,47.13333333333333,6.136363636363637,0.00020749287861562322,11664.0,0.10708161865569273,0.10600034584125886,0.1081448733208638,0.11508207934336526,0.09903713892709766,-0.0021445274796049324,0.016044940416267597,0.4611689351481185,0.36363636363636365,0.07446808510638298,0.28916827852998067,182.0,0.05481120584652863,0.041019955654102,0.013791250192426628,1723.0
C1__baldwinian__s4,C1__baldwinian,C1,C1,baldwinian,4,0.0,6.0,3.0,0,50,661,0,0,50.0,4.98,-0.0034202701043548798,14069.0,0.08785272585116213,0.09338078291814947,0.08233957978421351,0.09414348462664715,0.08191739190495925,0.011041203133935959,0.012226092721687898,0.4797734627831715,0.0450281425891182,0.04512635379061372,-9.821120149552248e-05,1087.0,0.054901960784313725,0.08104738154613467,-0.026145420761820942,3134.0
C1__baldwinian__s5,C1__baldwinian,C1,C1,baldwinian,5,0.0,6.0,3.0,0,50,629,0,0,49.86666666666667,4.24,-0.0010360175118515654,12496.0,0.09491037131882202,0.09591936270525118,0.09393223010244287,0.10213661379087083,0.08784425451092118,0.0019871326028083197,0.014292359279949651,0.4679595278246206,0.07077625570776255,0.06598984771573604,0.004786407992026509,832.0,0.033182503770739065,0.04157218442932729,-0.008389680658588222,2649.0
C1__baldwinian__s6,C1__baldwinian,C1,C1,baldwinian,6,0.0,6.0,3.0,0,50,673,0,0,49.13333333333333,4.46,-0.0019859043540150696,12265.0,0.09849164288626172,0.09967266775777414,0.09731925264012997,0.10352528313925666,0.09322881921280854,0.0023534151176441698,0.010296463926448118,0.46274834437086093,0.10416666666666667,0.11851851851851852,-0.014351851851851852,558.0,0.047818791946308725,0.04495335029686175,0.0028654416494469787,2371.0
C1__baldwinian__s7,C1__baldwinian,C1,C1,baldwinian,7,0.0,6.0,3.0,0,50,716,0,0,43.733333333333334,6.138888888888889,-0.004001338958647914,13138.0,0.09704673466281016,0.09742508658334588,0.09665999692165615,0.09634993350081276,0.09778684664887773,0.0007650896616897274,-0.001436913148064961,0.4886274509803922,0.0650887573964497,0.0481283422459893,0.0169604151504604,356.0,0.06202723146747353,0.04700854700854701,0.01501868445892652,2726.0
C1__baldwinian__s8,C1__baldwinian,C1,C1,baldwinian,8,0.0,6.0,3.0,0,50,685,0,0,50.0,4.34,-0.00047770201667909164,13749.0,0.09687977307440541,0.10033493519732052,0.09343214181923859,0.10366385577202675,0.09008877892592053,0.006902793378081931,0.013575076846106218,0.4647147147147147,0.027210884353741496,0.03571428571428571,-0.008503401360544217,315.0,0.040889526542324243,0.038490566037735846,0.0023989605045883974,2719.0
C1__baldwinian__s9,C1__baldwinian,C1,C1,baldwinian,9,0.0,6.0,3.0,0,50,643,0,0,49.666666666666664,3.74,-0.0029443992316350925,12559.0,0.09889322398280118,0.1019239942757195,0.09585326953748007,0.10579150579150579,0.09155161078238001,0.006070724738239441,0.014239895009125772,0.44847020933977455,0.09326424870466321,0.14285714285714285,-0.04959289415247964,354.0,0.04764930114358323,0.052267002518891686,-0.00461770137530846,3162.0
C1__baldwinian__s10,C1__baldwinian,C1,C1,baldwinian,10,0.0,6.0,3.0,0,50,600,0,0,50.0,4.7,-0.0037148504989872712,13969.0,0.08411482568544634,0.08606731998295697,0.08213048498845266,0.08779982232750963,0.08066528066528067,0.003936834994504312,0.00713454166222896,0.49531914893617024,0.09090909090909091,0.11708860759493671,-0.026179516685845797,657.0,0.039735099337748346,0.05205655526992288,-0.012321455932174534,3066.0
C1__baldwinian__s11,C1__baldwinian,C1,C1,baldwinian,11,0.0,6.0,3.0,0,50,624,0,0,44.93333333333333,4.877551020408164,0.0016302222603258047,9487.0,0.11658058395699378,0.11765975820379966,0.11555097837281153,0.12879708383961117,0.10331941085952957,0.0021087798309881306,0.025477672980081592,0.42495479204339964,0.07246376811594203,0.10236220472440945,-0.029898436608467416,265.0,0.05073280721533258,0.05777310924369748,-0.007040302028364899,1839.0
