run_id,cell_id,condition,family,inheritance_mode,seed,band_upper,conditional_onset_tick,conditional_onset_generation,cooperative_onset_tick,cooperative_onset_generation
C1_p9__baldwinian__s26,C1_p9__baldwinian,C1_p9,C1,baldwinian,26,0.06759172986669647,,,100.0,1.08
C1_p9__baldwinian__s27,C1_p9__baldwinian,C1_p9,C1,baldwinian,27,0.06759172986669647,,,100.0,0.82
C1_p9__baldwinian__s28,C1_p9__baldwinian,C1_p9,C1,baldwinian,28,0.06759172986669647,,,150.0,1.0238095238095235
C1_p9__baldwinian__s29,C1_p9__baldwinian,C1_p9,C1,baldwinian,29,0.06759172986669647,,,100.0,0.9782608695652174
C1_p9__baldwinian__s30,C1_p9__baldwinian,C1_p9,C1,baldwinian,30,0.06759172986669647,,,150.0,1.24
C1_p9__lamarckian__s1,C1_p9__lamarckian,C1_p9,C1,lamarckian,1,0.05993114113623804,,,50.0,0.82
C1_p9__lamarckian__s2,C1_p9__lamarckian,C1_p9,C1,lamarckian,2,0.05993114113623804,,,50.0,0.9069767441860463
C1_p9__lamarckian__s3,C1_p9__lamarckian,C1_p9,C1,lamarckian,3,0.05993114113623804,,,50.0,0.9782608695652174
C1_p9__lamarckian__s4,C1_p9__lamarckian,C1_p9,C1,lamarckian,4,0.05993114113623804,,,50.0,0.8636363636363636
C1_p9__lamarckian__s5,C1_p9__lamarckian,C1_p9,C1,lamarckian,5,0.05993114113623804,,,50.0,0.8
C1_p9__lamarckian__s6,C1_p9__lamarckian,C1_p9,C1,lamarckian,6,0.05993114113623804,,,50.0,1.0638297872340423
C1_p9__lamarckian__s7,C1_p9__lamarckian,C1_p9,C1,lamarckian,7,0.05993114113623804,,,100.0,1.0277777777777777
C1_p9__lamarckian__s8,C1_p9__lamarckian,C1_p9,C1,lamarckian,8,0.05993114113623804,,,100.0,1.1142857142857143
C1_p9__lamarckian__s9,C1_p9__lamarckian,C1_p9,C1,lamarckian,9,0.05993114113623804,,,50.0,1.26
C1_p9__lamarckian__s10,C1_p9__lamarckian,C1_p9,C1,lamarckian,10,0.05993114113623804,,,50.0,0.88
C1_p9__lamarckian__s11,C1_p9__lamarckian,C1_p9,C1,lamarckian,11,0.05993114113623804,,,50.0,0.9375
