run_id,cell_id,condition,family,inheritance_mode,seed,window_end_tick,phase,population,mean_generation,births,deaths,total_stock,suppressed_fraction,coverage_realised,opportunities__train__m0__c0,opportunities__train__m0__c1,opportunities__train__m1__c0,opportunities__train__m1__c1,opportunities__heldout__m0__c0,opportunities__heldout__m0__c1,opportunities__heldout__m1__c0,opportunities__heldout__m1__c1,defections__train__m0__c0,defections__train__m0__c1,defections__train__m1__c0,defections__train__m1__c1,defections__heldout__m0__c0,defections__heldout__m0__c1,defections__heldout__m1__c0,defections__heldout__m1__c1,penalties__train__m0__c0,penalties__train__m0__c1,penalties__train__m1__c0,penalties__train__m1__c1,penalties__heldout__m0__c0,penalties__heldout__m0__c1,penalties__heldout__m1__c0,penalties__heldout__m1__c1
C0__lamarckian__s2,C0__lamarckian,C0,C0,lamarckian,2,650,train,36,2.888888888888889,8,4,48.76187719799811,0.9791666666666666,0.0,218.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s2,C0__lamarckian,C0,C0,lamarckian,2,700,train,36,3.111111111111111,4,4,38.49109384056163,0.9791666666666666,0.0,196.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s2,C0__lamarckian,C0,C0,lamarckian,2,750,train,37,3.27027027027027,4,3,36.15734552291282,0.9583333333333334,0.0,249.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s2,C0__lamarckian,C0,C0,lamarckian,2,800,train,34,3.4705882352941178,3,6,49.46854626150929,0.9791666666666666,0.0,199.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s2,C0__lamarckian,C0,C0,lamarckian,2,850,train,36,3.611111111111111,5,3,26.773068755581924,1.0,0.0,213.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s2,C0__lamarckian,C0,C0,lamarckian,2,900,train,32,3.8125,4,8,58.447592901018794,0.9375,0.0,194.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s2,C0__lamarckian,C0,C0,lamarckian,2,950,train,37,3.891891891891892,6,1,33.379549680368925,0.9791666666666666,0.0,182.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s2,C0__lamarckian,C0,C0,lamarckian,2,1000,train,39,4.0,4,2,29.252650219166256,1.0,0.0,196.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s2,C0__lamarckian,C0,C0,lamarckian,2,1050,train,38,4.105263157894737,2,3,33.01171100472983,1.0,0.0,237.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s2,C0__lamarckian,C0,C0,lamarckian,2,1100,train,32,4.375,4,10,50.6935561697218,1.0,0.0,211.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s2,C0__lamarckian,C0,C0,lamarckian,2,1150,train,30,5.0,5,7,41.33147729609051,0.9791666666666666,0.0,264.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,139.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s2,C0__lamarckian,C0,C0,lamarckian,2,1200,train,32,5.15625,5,3,28.666270595761954,1.0,0.0,166.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s2,C0__lamarckian,C0,C0,lamarckian,2,1250,train,37,5.405405405405405,7,2,23.006521671673084,1.0,0.0,173.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s2,C0__lamarckian,C0,C0,lamarckian,2,1300,train,36,5.555555555555555,2,3,46.38750563166187,0.9583333333333334,0.0,193.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s2,C0__lamarckian,C0,C0,lamarckian,2,1350,train,33,5.696969696969697,2,5,38.902795753683144,1.0,0.0,194.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s2,C0__lamarckian,C0,C0,lamarckian,2,1400,train,35,6.085714285714285,5,3,46.25607430420489,0.9375,0.0,240.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0__lamarckian__s2,C0__lamarckian,C0,C0,lamarckian,2,1450,train,35,6.485714285714286,4,4,55.16349691820966,0.9583333333333334,0.0,176.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
