run_id,cell_id,condition,family,inheritance_mode,seed,fidelity,penalty,monitor_policy,expected_penalty_per_defection,extinct,final_population,total_agents,warmstart_applied,warmstart_skipped,adaptive_draws,mean_mask_overlap,mean_weight_kl,mean_weight_gini,population_late,mean_generation_end,drift_per_100_ticks,opportunities,rate,rate_cue0,rate_cue1,rate_m0,rate_m1,delta_cue,delta_true,realised_enforcement,eval_heldout_rate_cue0,eval_heldout_rate_cue1,eval_heldout_delta_cue,eval_heldout_opportunities,eval_train_rate_cue0,eval_train_rate_cue1,eval_train_delta_cue,eval_train_opportunities
C2__baldwinian__s15,C2__baldwinian,C2,C2,baldwinian,15,1.0,6.0,static,3.0,0,50,612,0,0,0,0.4929049295774646,0.0,0.0,50.0,4.18,-0.0009588379788024067,12359.0,0.10591471801925723,0.1483746941628801,0.06930842248003616,0.1483746941628801,0.06930842248003616,0.07906627168284394,0.07906627168284394,0.35141329258976317,0.1415929203539823,0.03296703296703297,0.10862588738694934,386.0,0.11795891318754141,0.04370034052213394,0.07425857266540747,3271.0
C2__baldwinian__s16,C2__baldwinian,C2,C2,baldwinian,16,1.0,6.0,static,3.0,0,50,605,0,0,0,0.5025000000000001,0.0,0.0,49.93333333333333,3.959183673469388,-0.001930539140403578,11878.0,0.10961441320087557,0.16378509016545825,0.06477919679950761,0.16378509016545825,0.06477919679950761,0.09900589336595064,0.09900589336595064,0.32334869431643626,0.275,0.3225806451612903,-0.04758064516129029,71.0,0.12352309344790548,0.08100929614873838,0.0425137972991671,1684.0
C2__baldwinian__s17,C2__baldwinian,C2,C2,baldwinian,17,1.0,6.0,static,3.0,0,50,573,0,0,0,0.4979049295774648,0.0,0.0,50.0,3.68,0.001009114929503025,10780.0,0.11159554730983302,0.15962534874451972,0.06976744186046512,0.15962534874451972,0.06976744186046512,0.08985790688405461,0.08985790688405461,0.3341645885286783,0.16037735849056603,0.13970588235294118,0.02067147613762485,484.0,0.08243727598566308,0.038338658146964855,0.04409861783869823,2368.0
C2__baldwinian__s18,C2__baldwinian,C2,C2,baldwinian,18,1.0,6.0,static,3.0,0,50,576,0,0,0,0.5041021126760564,0.0,0.0,50.0,3.56,-0.00096937922098019,11490.0,0.10278503046127067,0.13594306049822064,0.07103918228279386,0.13594306049822064,0.07103918228279386,0.06490387821542677,0.06490387821542677,0.35309060118543606,0.12371134020618557,0.11347517730496454,0.010236162901221035,573.0,0.11515151515151516,0.036943744752308987,0.07820777039920618,2016.0
C2__baldwinian__s19,C2__baldwinian,C2,C2,baldwinian,19,1.0,6.0,static,3.0,0,50,627,0,0,0,0.497887323943662,0.0,0.0,49.733333333333334,5.66,-0.002433786322210692,11276.0,0.10837176303653778,0.14009844755774328,0.08041374708041375,0.14009844755774328,0.08041374708041375,0.05968470047732953,0.05968470047732953,0.3944353518821604,0.11194029850746269,0.0949367088607595,0.01700358964670319,584.0,0.08262295081967214,0.05405405405405406,0.02856889676561808,3116.0
C2__baldwinian__s20,C2__baldwinian,C2,C2,baldwinian,20,1.0,6.0,static,3.0,0,50,651,0,0,0,0.496338028169014,0.0,0.0,48.93333333333333,4.54,-2.7282779760152732e-05,9980.0,0.11593186372745491,0.17424242424242425,0.07076813655761025,0.17424242424242425,0.07076813655761025,0.10347428768481401,0.10347428768481401,0.3439930855661193,0.06578947368421052,0.04294478527607362,0.0228446884081369,391.0,0.0851063829787234,0.031426269137792104,0.0536801138409313,2134.0
C2__baldwinian__s21,C2__baldwinian,C2,C2,baldwinian,21,1.0,6.0,static,3.0,0,50,607,0,0,0,0.4998239436619718,0.0,0.0,50.0,3.84,-0.0016007492942120619,13531.0,0.09578006060158155,0.13443771901879578,0.06231904039707707,0.13443771901879578,0.06231904039707707,0.07211867862171871,0.07211867862171871,0.3487654320987654,0.07692307692307693,0.03305785123966942,0.043865225683407505,251.0,0.07879656160458452,0.034323432343234324,0.0444731292613502,2911.0
C2__baldwinian__s22,C2__baldwinian,C2,C2,baldwinian,22,1.0,6.0,static,3.0,0,50,598,0,0,0,0.500088028169014,0.0,0.0,50.0,4.0,0.00044537148953978004,11678.0,0.10258605925672204,0.13183391003460207,0.07392336385215327,0.13183391003460207,0.07392336385215327,0.0579105461824488,0.0579105461824488,0.3639398998330551,0.06204379562043796,0.03508771929824561,0.026956076322192345,559.0,0.0883940620782726,0.04461942257217848,0.04377463950609413,3006.0
C2__baldwinian__s23,C2__baldwinian,C2,C2,baldwinian,23,1.0,6.0,static,3.0,0,50,608,0,0,0,0.4922711267605635,0.0,0.0,50.0,4.5,-0.0020117721229830706,11928.0,0.10261569416498995,0.14457611668185963,0.06689430389570077,0.14457611668185963,0.06689430389570077,0.07768181278615886,0.07768181278615886,0.352124183006536,0.02766798418972332,0.15,-0.12233201581027667,726.0,0.08349641226353555,0.044,0.03949641226353555,3283.0
C2__baldwinian__s24,C2__baldwinian,C2,C2,baldwinian,24,1.0,6.0,static,3.0,0,50,582,0,0,0,0.5003169014084506,0.0,0.0,50.0,4.7,-0.0008821076387624389,11191.0,0.10517380037530158,0.13616111210122972,0.07401433691756272,0.13616111210122972,0.07401433691756272,0.062146775183667,0.062146775183667,0.35089209855564996,0.12290502793296089,0.06230529595015576,0.060599731982805126,500.0,0.12899669239250275,0.057391304347826085,0.07160538804467667,2057.0
