run_id,cell_id,condition,family,inheritance_mode,seed,band_upper,conditional_onset_tick,conditional_onset_generation,cooperative_onset_tick,cooperative_onset_generation
A_f0.7_move__lamarckian__s12,A_f0.7_move__lamarckian,A_f0.7_move,A,lamarckian,12,0.05993114113623804,200.0,1.06,,
A_f0.7_move__lamarckian__s13,A_f0.7_move__lamarckian,A_f0.7_move,A,lamarckian,13,0.05993114113623804,400.0,0.82,,
A_f0.7_move__lamarckian__s14,A_f0.7_move__lamarckian,A_f0.7_move,A,lamarckian,14,0.05993114113623804,150.0,1.06,,
A_f0.7_move__lamarckian__s15,A_f0.7_move__lamarckian,A_f0.7_move,A,lamarckian,15,0.05993114113623804,200.0,1.14,,
A_f0.7_move__lamarckian__s16,A_f0.7_move__lamarckian,A_f0.7_move,A,lamarckian,16,0.05993114113623804,550.0,1.58,,
A_f0.7_move__lamarckian__s17,A_f0.7_move__lamarckian,A_f0.7_move,A,lamarckian,17,0.05993114113623804,250.0,1.2,,
A_f0.7_move__lamarckian__s18,A_f0.7_move__lamarckian,A_f0.7_move,A,lamarckian,18,0.05993114113623804,200.0,1.04,,
A_f0.7_move__lamarckian__s19,A_f0.7_move__lamarckian,A_f0.7_move,A,lamarckian,19,0.05993114113623804,100.0,0.88,,
A_f0.7_move__lamarckian__s20,A_f0.7_move__lamarckian,A_f0.7_move,A,lamarckian,20,0.05993114113623804,250.0,1.5128205128205128,,
A_f0.7_move__lamarckian__s21,A_f0.7_move__lamarckian,A_f0.7_move,A,lamarckian,21,0.05993114113623804,150.0,0.94,,
A_f0.7_move__lamarckian__s22,A_f0.7_move__lamarckian,A_f0.7_move,A,lamarckian,22,0.05993114113623804,300.0,1.14,,
A_f0.7_move__lamarckian__s23,A_f0.7_move__lamarckian,A_f0.7_move,A,lamarckian,23,0.05993114113623804,200.0,1.0,,
A_f0.7_move__lamarckian__s24,A_f0.7_move__lamarckian,A_f0.7_move,A,lamarckian,24,0.05993114113623804,350.0,0.82,,
A_f0.7_move__lamarckian__s25,A_f0.7_move__lamarckian,A_f0.7_move,A,lamarckian,25,0.05993114113623804,150.0,1.022222222222222,,
A_f0.7_move__lamarckian__s26,A_f0.7_move__lamarckian,A_f0.7_move,A,lamarckian,26,0.05993114113623804,500.0,1.26,,
A_f0.7_move__lamarckian__s27,A_f0.7_move__lamarckian,A_f0.7_move,A,lamarckian,27,0.05993114113623804,400.0,0.8,,
A_f0.7_move__lamarckian__s28,A_f0.7_move__lamarckian,A_f0.7_move,A,lamarckian,28,0.05993114113623804,100.0,0.94,,
A_f0.7_move__lamarckian__s29,A_f0.7_move__lamarckian,A_f0.7_move,A,lamarckian,29,0.05993114113623804,150.0,0.92,,
A_f0.7_move__lamarckian__s30,A_f0.7_move__lamarckian,A_f0.7_move,A,lamarckian,30,0.05993114113623804,200.0,0.82,,
A_f0.9_blind__baldwinian__s1,A_f0.9_blind__baldwinian,A_f0.9_blind,A,baldwinian,1,0.06759172986669647,200.0,1.04,,
A_f0.9_blind__baldwinian__s2,A_f0.9_blind__baldwinian,A_f0.9_blind,A,baldwinian,2,0.06759172986669647,800.0,2.26,,
A_f0.9_blind__baldwinian__s3,A_f0.9_blind__baldwinian,A_f0.9_blind,A,baldwinian,3,0.06759172986669647,950.0,2.78,,
A_f0.9_blind__baldwinian__s4,A_f0.9_blind__baldwinian,A_f0.9_blind,A,baldwinian,4,0.06759172986669647,50.0,0.78,,
